case_id,data_type,round_count,exec_mean,exec_stdev,exec_min,exec_max,e2e_mean,e2e_stdev,e2e_min,e2e_max,backend_pass_count,e2e_pass_count,output_valid_count,tiles,indexes,grid_cells,scene_units,ray_tasks,worker_results,ray_parallelism
optical_isea4h,optical,5,6.2294784000000005,1.5596919751139329,5.343958,9.012541,8.9737946,1.9000714194035708,7.737783,12.274198,5,4,5,20,20,5,4,20,20,16
radar_isea4h,radar,5,3.9725904,0.033260420988015224,3.946304,4.030539,6.3730772,0.07166022815481404,6.317099,6.464797,5,5,5,6,6,3,2,2,2,16
product_isea4h,product,5,2.9650448000000003,0.0366761532088632,2.938187,3.028856,5.3048832,0.06803998106775162,5.250749,5.420718,5,5,5,5,5,5,1,5,5,16
carbon_isea4h,carbon,5,2.3429426,0.162580811015015,2.122763,2.522762,4.690381,0.20658888435247438,4.415191,4.960625,5,5,5,1,1,1,1,1,1,1
