case_id,scope,phase,label,round_count,avg_total_sec,stdev_total_sec,min_total_sec,max_total_sec,avg_max_invocation_sec,max_invocation_sec,avg_count
radar_isea4h,raster_worker,source.cache,源数据缓存命中/准备,5,0.0003828,2.29063310025853e-05,0.000356,0.00041600000000000003,0.0002014,0.000224,2
radar_isea4h,raster_worker,source.checksum,源数据校验,5,0.0442866,0.0016517579423147922,0.042924000000000004,0.046241,0.023978,0.026598,2
radar_isea4h,raster_worker,source.download,源数据下载,5,0.0,0.0,0.0,0.0,0.0,0.0,2
radar_isea4h,raster_worker,source.raster_open,打开源栅格,5,0.0353978,0.0018268186007373587,0.033866,0.038552,0.0183848,0.021695,2
radar_isea4h,ray_job_driver,driver.bootstrap,Ray Job driver 启动,5,0.1575174,0.010481310690939374,0.150384,0.174502,0.1575174,0.174502,1
radar_isea4h,ray_job_driver,task.start_attempt,启动后端 attempt,5,0.004272,0.0004481154985045709,0.003721,0.004902,0.004272,0.004902,1
radar_isea4h,ray_job_driver,workflow.run,工作流总耗时,5,3.9662224,0.033252148874922276,3.939946,4.024081,3.9662224,4.024081,1
radar_isea4h,source_preflight,minio.stat,源对象预检,5,0.1595126,0.0068719208595559335,0.150602,0.166382,0.1595126,0.166382,1
radar_isea4h,workflow_dataset,opengauss.complete_output,OpenGauss 完成写输出,5,0.0242784,0.0010942827788099389,0.023315,0.025818,0.0242784,0.025818,1
radar_isea4h,workflow_dataset,opengauss.start_output,OpenGauss 开始写输出,5,0.012652799999999999,0.001194609224809519,0.011718,0.014684,0.012652799999999999,0.014684,1
product_isea4h,raster_batch_driver,driver.result_merge,合并 task 结果,5,2.68e-05,1.0954451150103315e-06,2.5e-05,2.8e-05,2.68e-05,2.8e-05,5
product_isea4h,raster_batch_driver,ray.init,连接 Ray,5,0.0825926,0.002187670290514542,0.08074,0.085862,0.0825926,0.085862,1
product_isea4h,raster_batch_driver,ray.result_get,ray.result_get,5,0.0018222,0.0003023660033800096,0.001517,0.00225,0.0018222,0.00225,4.2
product_isea4h,raster_batch_driver,ray.task_submit,提交 Ray task,5,0.0573236,0.010087271846242666,0.05233,0.075358,0.0573236,0.075358,5
product_isea4h,raster_batch_driver,ray.wait,批量等待 Ray task,5,2.3762152,0.03424271492157125,2.341563,2.432247,2.3762152,2.432247,12.2
product_isea4h,raster_driver,grid.cover,实体格网覆盖,5,0.0273074,0.007680680946374482,0.02357,0.041034,0.0273074,0.041034,1
product_isea4h,raster_worker,entity.tile_checksum,实体瓦片校验,5,0.0354426,0.0010096295360180374,0.034708,0.036954,0.013046799999999999,0.014,5
product_isea4h,raster_worker,entity.tile_mask,实体瓦片掩膜,5,0.46315979999999995,0.02445372757270351,0.422222,0.484915,0.1766948,0.192592,5
product_isea4h,raster_worker,entity.tile_write,实体瓦片写入,5,1.242343,0.031267132599584545,1.2079520000000001,1.2827600000000001,0.4335722,0.440094,5
product_isea4h,raster_worker,grid.geometry,读取格网几何,5,0.018675,0.0005070202165594578,0.018226,0.019518999999999998,0.004158,0.004821,5
product_isea4h,raster_worker,grid.window_calculation,计算栅格窗口,5,0.0015226,2.3437149997386625e-05,0.001495,0.001559,0.0003374,0.000378,5
product_isea4h,raster_worker,minio.tile_stat,MinIO 瓦片检查,5,0.034859600000000004,0.0034517430814010497,0.032207,0.040323000000000005,0.0091456,0.012228,5
product_isea4h,raster_worker,minio.tile_upload,MinIO 瓦片上传,5,0.9188796,0.1483018124107052,0.790796,1.102531,0.343551,0.397293,5
product_isea4h,raster_worker,source.cache,源数据缓存命中/准备,5,0.0010010000000000002,8.480271222077745e-05,0.0009360000000000001,0.001149,0.0002446,0.000358,5
product_isea4h,raster_worker,source.checksum,源数据校验,5,0.0205458,0.003080172105581114,0.018327999999999997,0.025903999999999996,0.0051966,0.008424,5
product_isea4h,raster_worker,source.download,源数据下载,5,0.0,0.0,0.0,0.0,0.0,0.0,5
product_isea4h,raster_worker,source.raster_open,打开源栅格,5,0.0894948,0.004618200645273002,0.085335,0.096243,0.019681,0.024489,5
product_isea4h,ray_job_driver,driver.bootstrap,Ray Job driver 启动,5,0.1526964,0.006323482134077716,0.143981,0.158842,0.1526964,0.158842,1
product_isea4h,ray_job_driver,task.start_attempt,启动后端 attempt,5,0.004721,0.0008044498119833207,0.003855,0.00566,0.004721,0.00566,1
product_isea4h,ray_job_driver,workflow.run,工作流总耗时,5,2.9581346,0.03632389711746259,2.93052,3.021234,2.9581346,3.021234,1
product_isea4h,source_preflight,minio.stat,源对象预检,5,0.1554134,0.004039247739369301,0.151647,0.160465,0.1554134,0.160465,1
product_isea4h,workflow_dataset,opengauss.complete_output,OpenGauss 完成写输出,5,0.0254268,0.0016307028239381936,0.023962,0.027842,0.0254268,0.027842,1
product_isea4h,workflow_dataset,opengauss.start_output,OpenGauss 开始写输出,5,0.0102262,0.0005940123736084962,0.009261,0.010773,0.0102262,0.010773,1
carbon_isea4h,carbon_driver,driver.result_merge,合并 task 结果,5,2.4e-06,5.477225575051662e-07,2e-06,3e-06,2.4e-06,3e-06,1
carbon_isea4h,carbon_driver,ray.init,连接 Ray,5,0.0799566,0.002260931290419941,0.077977,0.083808,0.0799566,0.083808,1
carbon_isea4h,carbon_driver,ray.task_submit,提交 Ray task,5,0.0445676,0.00099381703547484,0.04356,0.045653,0.0445676,0.045653,1
carbon_isea4h,carbon_driver,ray.wait_get,等待并获取 Ray 结果,5,1.7602552,0.14168371403481772,1.608085,1.910464,1.7602552,1.910464,1
carbon_isea4h,carbon_worker,carbon.measurement_partition,碳卫星测量值剖分,5,0.00011679999999999999,1.8992103622295244e-05,9.4e-05,0.000137,0.00011679999999999999,0.000137,1
carbon_isea4h,carbon_worker,carbon.observation_load,碳卫星观测加载,5,0.0763058,0.0058699308939714106,0.069898,0.082171,0.0763058,0.082171,1
carbon_isea4h,carbon_worker,carbon.partition_observation,碳卫星观测写入准备,5,0.0035744,0.0003869247988950826,0.003175,0.004067,0.0035744,0.004067,1
carbon_isea4h,carbon_worker,grid.geometry,读取格网几何,5,0.0006628,3.623120202256615e-05,0.00062,0.000696,0.0006628,0.000696,1
carbon_isea4h,carbon_worker,grid.locate,碳卫星格网定位,5,0.0013306,0.00011052284831653592,0.001171,0.001446,0.0013306,0.001446,1
carbon_isea4h,carbon_worker,source.cache,源数据缓存命中/准备,5,0.209308,0.241539558466103,0.000215,0.46997,0.209308,0.46997,1
carbon_isea4h,carbon_worker,source.checksum,源数据校验,5,0.047308,0.009258903012776406,0.036804,0.055847,0.047308,0.055847,1
carbon_isea4h,carbon_worker,source.download,源数据下载,5,0.2089748,0.24147984831389138,0.0,0.469583,0.2089748,0.469583,1
carbon_isea4h,ray_job_driver,driver.bootstrap,Ray Job driver 启动,5,0.1483054,0.005128279272816559,0.139525,0.152191,0.1483054,0.152191,1
carbon_isea4h,ray_job_driver,task.start_attempt,启动后端 attempt,5,0.004689,0.0007439143095814196,0.003915,0.005888,0.004689,0.005888,1
carbon_isea4h,ray_job_driver,workflow.run,工作流总耗时,5,2.3362456,0.16299987840885047,2.115945,2.516411,2.3362456,2.516411,1
carbon_isea4h,source_preflight,minio.stat,源对象预检,5,0.1567318,0.0028325420914789615,0.154907,0.161741,0.1567318,0.161741,1
carbon_isea4h,workflow_dataset,opengauss.complete_output,OpenGauss 完成写输出,5,0.09137479999999999,0.16195474980592572,0.01798,0.381084,0.09137479999999999,0.381084,1
carbon_isea4h,workflow_dataset,opengauss.start_output,OpenGauss 开始写输出,5,0.0097092,0.0007857745859977906,0.008436,0.010532,0.0097092,0.010532,1
