round,case_id,data_type,grid_type,grid_level,partition_execution_sec,end_to_end_sec,ray_job_sec,queue_wait_sec,driver_wait_sec,worker_scope_max_sec,active_partition_job_count,cold_start_gate_valid,source_checksum_verified,threshold_scope,worker_timing_present,final_status,attempt_status,ray_job_status,valid_sample,outlier,excluded_reason,raw_passed
round_4,optical_mgrs,optical,mgrs,1,4.894323,7.545528,8.144,2.596592,1.672537,0.496224,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_4,optical_isea4h,optical,isea4h,6,19.388147,23.174321,22.85,2.793148,9.162386,7.347308,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_4,radar_geohash,radar,geohash,4,3.677516,5.955843,6.853,2.247107,1.742648,0.183248,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_4,radar_mgrs,radar,mgrs,1,3.684809,5.976295,6.864,2.263012,1.605459,0.3688,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_4,radar_isea4h,radar,isea4h,6,11.578135,13.93683,14.626,2.328734,8.217507,6.616289,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_4,product_geohash,product,geohash,4,1.916671,4.192623,5.156,2.248395,1.381676,0.164307,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_4,product_mgrs,product,mgrs,1,2.498457,4.809113,5.779,2.283835,1.822672,0.597652,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_4,product_isea4h,product,isea4h,6,9.216442,12.002609,12.509,2.539438,8.641341,7.113574,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_4,carbon_isea4h,carbon,isea4h,6,2.258976,4.582801,5.489,2.293072,1.708621,0.255575,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_5,optical_geohash,optical,geohash,4,7.492172,9.838381,10.796,2.299242,3.892895,2.616728,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_5,optical_mgrs,optical,mgrs,1,7.523816,9.812621,10.762,2.257448,1.70173,0.471736,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_5,optical_isea4h,optical,isea4h,6,21.703845,24.651195,24.894,2.710256,9.314541,6.896776,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_5,radar_geohash,radar,geohash,4,3.432153,5.728035,6.651,2.263826,1.444489,0.239193,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_5,radar_mgrs,radar,mgrs,1,3.608324,6.010486,6.849,2.367517,1.427524,0.215844,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_5,radar_isea4h,radar,isea4h,6,14.766107,17.165644,18.027,2.311699,11.040901,9.284886,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_5,product_geohash,product,geohash,4,1.979459,5.248654,6.24,3.241348,1.425686,0.167236,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_5,product_mgrs,product,mgrs,1,2.411939,4.798569,5.701,2.354482,1.770524,0.58613,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
round_5,product_isea4h,product,isea4h,6,11.389244,13.878671,14.78,2.452558,10.554035,8.186599,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,False
round_5,carbon_isea4h,carbon,isea4h,6,2.191289,4.47647,5.158,2.255499,1.674163,0.170972,0,True,True,both,True,completed,succeeded,SUCCEEDED,True,False,,True
