operation,object_type,round,tile_count,payload_bytes,payload_bytes_min,payload_bytes_max,total_bytes,concurrency,write_sec,read_sec,io_sec,write_ms_per_tile,read_ms_per_tile,write_mib_per_sec,read_mib_per_sec,verify_sec,cleanup_sec,verified_object_count,verified_byte_count,source_object_count,valid,error
read,entity_tile,3,1,22430,22430,22430,22430,8,,0.002951,0.002951,,2.951,,7.2487,,0.0,,22430,4,True,
read,entity_tile,3,10,22430,22430,22430,224300,8,,0.012334,0.012334,,1.2334,,17.343048,,0.0,,224300,4,True,
read,entity_tile,3,100,22430,22430,22430,2243000,8,,0.108462,0.108462,,1.08462,,19.722036,,0.0,,2243000,4,True,
read,entity_tile,3,1000,22430,22430,22430,22430000,8,,1.0411,1.0411,,1.0411,,20.546456,,0.0,,22430000,4,True,
read,entity_tile,4,1,22430,22430,22430,22430,8,,0.003453,0.003453,,3.453,,6.194878,,0.0,,22430,4,True,
read,entity_tile,4,10,22430,22430,22430,224300,8,,0.012756,0.012756,,1.2756,,16.769297,,0.0,,224300,4,True,
read,entity_tile,4,100,22430,22430,22430,2243000,8,,0.101411,0.101411,,1.01411,,21.093289,,0.0,,2243000,4,True,
read,entity_tile,4,1000,22430,22430,22430,22430000,8,,1.037371,1.037371,,1.037371,,20.620313,,0.0,,22430000,4,True,
read,entity_tile,5,1,22430,22430,22430,22430,8,,0.00312,0.00312,,3.12,,6.856062,,0.0,,22430,4,True,
read,entity_tile,5,10,22430,22430,22430,224300,8,,0.012553,0.012553,,1.2553,,17.04048,,0.0,,224300,4,True,
read,entity_tile,5,100,22430,22430,22430,2243000,8,,0.101016,0.101016,,1.01016,,21.175769,,0.0,,2243000,4,True,
read,entity_tile,5,1000,22430,22430,22430,22430000,8,,1.037133,1.037133,,1.037133,,20.625045,,0.0,,22430000,4,True,
